"codice";"descrizione";"prezzo";"punti"
"3023290062920";YOG.ZYMIL GRECA PESCA Gr150;1.29;0.06450000000000000000
"3023290063231";DESS.STRA.GR.150LINDAHLS PROT;1.39;0.06950000000000000000
"3023290063262";DESS.LAMP.GR.150LINDAHLS PROT;1.39;0.06950000000000000000
"3023290063903";DESS.CIOC.GR.150LINDAHLS PROT;1.39;0.06950000000000000000
"3023290063934";DESS.VANI.GR.150LINDAHLS PROT;1.39;0.06950000000000000000
"3023290155714";DESS.PERUGINA NUVOLE CA.Gr60x4;2.29;0.11450000000000000000
"3023290210475";FRUTTOLO MAXI DUO FR/V.Gr100x4;2.99;0.14950000000000000000
"3023290210482";FRUTTOLO MAXI DUO FR/F.Gr100x4;2.89;0.14450000000000000000
"3023290418338";FRUTTOLO MAXI DUO FR/P Gr100x4;2.89;0.14450000000000000000
"3023290474884";DESS.PERUGINA CIOC.LATT.Gr70x4;2.29;0.11450000000000000000
"3023290719206";DESS.PERUGINA NUVOLE F.Gr60x4.;2.29;0.11450000000000000000
"3023290720820";DESS.PERUGINA CIOC.BIAN.Gr70x4;2.29;0.11450000000000000000
"3023290798041";DESS.PERUGINA NUVOLE CI.Gr60x4;2.49;0.12450000000000000000
"3024480003129";COGNAC REMY VSOP CL70CON BICC;33.79;1.6895000000000000
"3033710047765";NESCAFE'CAPPUCC.Gr140.;4.79;0.23950000000000000000
"3033710065967";NESQUIK Kg1;6.99;0.34950000000000000000
"3035540006240";COINTREAU cl70.;18.49;0.92450000000000000000
"3038680065719";FILETTI ARINGHE AFFUMIC.GR.200;3.99;0.19950000000000000000
"3041091113399";LATTE MELLIN TIPO1Ml500x4;11.79;0.58950000000000000000
"3041091113405";LATTE MELLIN2ml500x4;8.89;0.44450000000000000000
"3041091146304";SEMOLINO Gr200MELLIN;2.79;0.13950000000000000000
"3041091146311";CREMA DI RISO Gr200MELLIN pa.;2.79;0.13950000000000000000
"3043700103814";CHAMPAGNE MUMM C.ROUGE cl75.;31.79;1.5895000000000000
